Trial,Exit Index,Exit Block,Samples Exited (%),Accuracy (%),Exit Params,Submodel Params,Total Model Params,Overall Early-Exit Accuracy
set2_exit_blocks_0_7,1,0,0.8,88.75,183908,183908,965932,78.95
set2_exit_blocks_0_7,2,7,37.9,87.47,577124,577124,965932,78.95
set1_single_exit_block_9,1,9,45.34,93.12,577124,577124,782024,80.33
set1_single_exit_block_7,1,7,27.33,93.19,577124,577124,0,0.0
set2_exit_blocks_1_13,1,1,1.64,86.59,183908,183908,1490220,79.74
set2_exit_blocks_1_13,2,13,88.96,84.03,1101412,1101412,1490220,79.74
set2_exit_blocks_1_14,1,1,1.14,91.23,183908,183908,1490220,81.4
set2_exit_blocks_1_14,2,14,92.8,84.52,1101412,1101412,1490220,81.4
set2_exit_blocks_0_9,1,0,1.19,80.67,183908,183908,965932,77.76
set2_exit_blocks_0_9,2,9,59.49,84.87,577124,577124,965932,77.76
set1_single_exit_block_10,1,10,53.74,92.15,577124,577124,782024,80.49
set3_three_evenly_spaced_exits,1,3,5.29,93.38,314980,314980,1674128,74.75
set3_three_evenly_spaced_exits,2,7,35.53,84.35,577124,577124,1674128,74.75
set3_three_evenly_spaced_exits,3,11,44.23,72.48,577124,577124,1674128,74.75
set2_exit_blocks_1_7,1,1,1.84,84.24,183908,183908,965932,78.56
set2_exit_blocks_1_7,2,7,38.22,86.42,577124,577124,965932,78.56
set2_exit_blocks_1_9,1,1,1.4,85.0,183908,183908,965932,77.71
set2_exit_blocks_1_9,2,9,58.37,85.4,577124,577124,965932,77.71
set2_exit_blocks_0_10,1,0,1.13,79.65,183908,183908,965932,78.18
set2_exit_blocks_0_10,2,10,65.8,85.79,577124,577124,965932,78.18
set2_exit_blocks_0_8,1,0,0.81,83.95,183908,183908,965932,78.71
set2_exit_blocks_0_8,2,8,49.42,86.6,577124,577124,965932,78.71
set1_single_exit_block_11,1,11,59.58,92.06,577124,577124,782024,80.59
set2_exit_blocks_1_12,1,1,1.36,88.24,183908,183908,965932,78.8
set2_exit_blocks_1_12,2,12,79.47,84.87,577124,577124,965932,78.8
set1_single_exit_block_8,1,8,36.16,92.98,577124,577124,0,0.0
set2_exit_blocks_0_6,1,0,0.86,79.07,183908,183908,703788,79.4
set2_exit_blocks_0_6,2,6,26.0,87.62,314980,314980,703788,79.4
set2_exit_blocks_0_11,1,0,0.96,83.33,183908,183908,965932,78.7
set2_exit_blocks_0_11,2,11,73.5,85.48,577124,577124,965932,78.7
set4_four_evenly_spaced_exits,1,2,3.07,90.23,183908,183908,2382324,74.1
set4_four_evenly_spaced_exits,2,5,18.89,87.4,314980,314980,2382324,74.1
set4_four_evenly_spaced_exits,3,9,49.0,75.47,577124,577124,2382324,74.1
set4_four_evenly_spaced_exits,4,13,27.28,63.27,1101412,1101412,2382324,74.1
set2_exit_blocks_1_8,1,1,1.91,86.39,183908,183908,965932,78.42
set2_exit_blocks_1_8,2,8,47.92,86.52,577124,577124,965932,78.42
set2_exit_blocks_1_6,1,1,1.96,84.69,183908,183908,703788,78.94
set2_exit_blocks_1_6,2,6,25.92,86.65,314980,314980,703788,78.94
set2_exit_blocks_0_12,1,0,0.67,83.58,183908,183908,965932,78.63
set2_exit_blocks_0_12,2,12,80.43,84.37,577124,577124,965932,78.63
set2_exit_blocks_1_5,1,1,2.11,81.99,183908,183908,703788,79.07
set2_exit_blocks_1_5,2,5,21.97,85.12,314980,314980,703788,79.07
set1_single_exit_block_15,1,15,87.94,87.18,1101412,1101412,1306312,81.08
set2_exit_blocks_1_11,1,1,2.19,86.76,183908,183908,965932,78.59
set2_exit_blocks_1_11,2,11,73.11,84.95,577124,577124,965932,78.59
set1_single_exit_block_12,1,12,67.55,90.54,577124,577124,782024,80.14
set2_exit_blocks_0_5,1,0,0.89,82.02,183908,183908,703788,79.46
set2_exit_blocks_0_5,2,5,21.77,85.07,314980,314980,703788,79.46
set2_exit_blocks_1_4,1,1,1.47,85.71,183908,183908,703788,79.7
set2_exit_blocks_1_4,2,4,14.73,84.59,314980,314980,703788,79.7
set2_exit_blocks_0_13,1,0,1.03,79.61,183908,183908,1490220,80.16
set2_exit_blocks_0_13,2,13,89.73,84.24,1101412,1101412,1490220,80.16
set2_exit_blocks_0_14,1,0,1.02,76.47,183908,183908,1490220,81.08
set2_exit_blocks_0_14,2,14,92.93,84.43,1101412,1101412,1490220,81.08
set2_exit_blocks_0_4,1,0,1.13,74.34,183908,183908,703788,79.93
set2_exit_blocks_0_4,2,4,13.83,85.9,314980,314980,703788,79.93
set1_single_exit_block_13,1,13,80.55,89.09,1101412,1101412,1306312,81.25
set1_single_exit_block_14,1,14,86.85,87.97,1101412,1101412,1306312,81.56
